,casos_2304400,casos_est_2304400,casos_est_min_2304400,casos_est_max_2304400,p_rt1_2304400,p_inc100k_2304400,temp_min_2304400,temp_max_2304400,umid_min_2304400,pressao_min_2304400,casos_2311702,casos_est_2311702,casos_est_min_2311702,casos_est_max_2311702,p_rt1_2311702,p_inc100k_2311702,temp_min_2311702,temp_max_2311702,umid_min_2311702,pressao_min_2311702,casos_2307650,casos_est_2307650,casos_est_min_2307650,casos_est_max_2307650,p_rt1_2307650,p_inc100k_2307650,temp_min_2307650,temp_max_2307650,umid_min_2307650,pressao_min_2307650,casos_2306306,casos_est_2306306,casos_est_min_2306306,casos_est_max_2306306,p_rt1_2306306,p_inc100k_2306306,temp_min_2306306,temp_max_2306306,umid_min_2306306,pressao_min_2306306
2013-02-10,166,166.0,166,166,0.9424254,6.178786,26.0,31.142857142857142,47.714285714285715,1007.8571428571429,22,22.0,22,22,0.91005224,119.662766,26.0,31.142857142857142,47.714285714285715,1007.8571428571429,20,20.0,20,20,0.8527168,8.716192,26.0,31.142857142857142,47.714285714285715,1007.8571428571429,2,2.0,2,2,0.46897635,3.7688205,26.0,31.142857142857142,47.714285714285715,1007.8571428571429
2013-02-17,289,289.0,289,289,1.0,10.757043,25.428571428571427,30.714285714285715,51.57142857142857,1007.8571428571429,26,26.0,26,26,0.8984359,141.41963,25.428571428571427,30.714285714285715,51.57142857142857,1007.8571428571429,43,43.0,43,43,0.9999018,18.739813,25.428571428571427,30.714285714285715,51.57142857142857,1007.8571428571429,10,10.0,10,10,0.9872849,18.844103,25.428571428571427,30.714285714285715,51.57142857142857,1007.8571428571429
2013-02-24,335,335.0,335,335,1.0,12.469236,25.0,30.142857142857142,50.42857142857143,1007.8571428571429,58,58.0,58,58,0.9999694,315.47458,25.0,30.142857142857142,50.42857142857143,1007.8571428571429,41,41.0,41,41,0.988748,17.868195,25.0,30.142857142857142,50.42857142857143,1007.8571428571429,1,1.0,1,1,0.065963045,1.8844103,25.0,30.142857142857142,50.42857142857143,1007.8571428571429
2013-03-03,351,351.0,351,351,0.9998015,13.064782,26.571428571428573,31.428571428571427,46.42857142857143,1008.2857142857143,23,23.0,23,23,0.114348784,125.10198,26.571428571428573,31.428571428571427,46.42857142857143,1008.2857142857143,24,24.0,24,24,0.102018066,10.459431,26.571428571428573,31.428571428571427,46.42857142857143,1008.2857142857143,6,6.0,6,6,0.6029551,11.306461,26.571428571428573,31.428571428571427,46.42857142857143,1008.2857142857143
2013-03-10,418,418.0,418,418,0.999834,15.558629,26.428571428571427,31.428571428571427,49.285714285714285,1009.7142857142857,29,29.0,29,29,0.13859488,157.73729,26.428571428571427,31.428571428571427,49.285714285714285,1009.7142857142857,39,39.0,39,39,0.6461903,16.996574,26.428571428571427,31.428571428571427,49.285714285714285,1009.7142857142857,7,7.0,7,7,0.75093514,13.190872,26.428571428571427,31.428571428571427,49.285714285714285,1009.7142857142857
2013-03-17,336,336.0,336,336,0.2152922,12.506458,26.571428571428573,31.0,52.142857142857146,1008.0,35,35.0,35,35,0.56655735,190.37259,26.571428571428573,31.0,52.142857142857146,1008.0,44,44.0,44,44,0.8798571,19.175623,26.571428571428573,31.0,52.142857142857146,1008.0,6,6.0,6,6,0.5977469,11.306461,26.571428571428573,31.0,52.142857142857146,1008.0
2013-03-24,402,402.0,402,402,0.8419811,14.963083,25.714285714285715,30.428571428571427,54.42857142857143,1008.1428571428571,13,13.0,13,13,0.0046794047,70.709816,25.714285714285715,30.428571428571427,54.42857142857143,1008.1428571428571,65,65.0,65,65,0.9964834,28.327623,25.714285714285715,30.428571428571427,54.42857142857143,1008.1428571428571,1,1.0,1,1,0.01735126,1.8844103,25.714285714285715,30.428571428571427,54.42857142857143,1008.1428571428571
2013-03-31,535,535.0,535,535,0.9999998,19.913557,25.857142857142858,31.0,51.0,1009.8571428571429,23,23.0,23,23,0.29016778,125.10198,25.857142857142858,31.0,51.0,1009.8571428571429,84,84.0,84,84,0.9989964,36.608006,25.857142857142858,31.0,51.0,1009.8571428571429,4,4.0,4,4,0.37892997,7.537641,25.857142857142858,31.0,51.0,1009.8571428571429
2013-04-07,630,630.0,630,630,1.0,23.449608,24.857142857142858,30.571428571428573,51.714285714285715,1010.2857142857143,49,49.0,49,49,0.9988152,266.5216,24.857142857142858,30.571428571428573,51.714285714285715,1010.2857142857143,113,113.0,113,113,0.99984664,49.246487,24.857142857142858,30.571428571428573,51.714285714285715,1010.2857142857143,3,3.0,3,3,0.43528798,5.6532307,24.857142857142858,30.571428571428573,51.714285714285715,1010.2857142857143
2013-04-14,673,673.0,673,673,0.99999577,25.050137,25.714285714285715,30.857142857142858,52.857142857142854,1008.7142857142857,25,25.0,25,25,0.36147892,135.98042,25.714285714285715,30.857142857142858,52.857142857142854,1008.7142857142857,125,125.0,125,125,0.99660474,54.4762,25.714285714285715,30.857142857142858,52.857142857142854,1008.7142857142857,3,3.0,3,3,0.48589128,5.6532307,25.714285714285715,30.857142857142858,52.857142857142854,1008.7142857142857
