,casos_2611002,casos_est_2611002,casos_est_min_2611002,casos_est_max_2611002,p_rt1_2611002,p_inc100k_2611002,temp_min_2611002,temp_max_2611002,umid_min_2611002,pressao_min_2611002,casos_2611606,casos_est_2611606,casos_est_min_2611606,casos_est_max_2611606,p_rt1_2611606,p_inc100k_2611606,temp_min_2611606,temp_max_2611606,umid_min_2611606,pressao_min_2611606,casos_2610707,casos_est_2610707,casos_est_min_2610707,casos_est_max_2610707,p_rt1_2610707,p_inc100k_2610707,temp_min_2610707,temp_max_2610707,umid_min_2610707,pressao_min_2610707,casos_2609600,casos_est_2609600,casos_est_min_2609600,casos_est_max_2609600,p_rt1_2609600,p_inc100k_2609600,temp_min_2609600,temp_max_2609600,umid_min_2609600,pressao_min_2609600,casos_2600054,casos_est_2600054,casos_est_min_2600054,casos_est_max_2600054,p_rt1_2600054,p_inc100k_2600054,temp_min_2600054,temp_max_2600054,umid_min_2600054,pressao_min_2600054
2010-10-31,0.0,0.0,0.0,0.0,0.5,0.0,,,,,0.0,0.0,0.0,0.0,0.0,0.0,,,,,0.0,0.0,0.0,0.0,0.5,0.0,,,,,0.0,0.0,0.0,0.0,0.5,0.0,,,,,0,0.0,0,0,0.5,0.0,24.552725714285714,28.815878714285713,64.61517557142857,0.9964641500000001
2010-11-07,0.0,0.0,0.0,0.0,0.5,0.0,,,,,0.0,0.0,0.0,0.0,0.0,0.0,,,,,0.0,0.0,0.0,0.0,0.5,0.0,,,,,0.0,0.0,0.0,0.0,0.5,0.0,,,,,0,0.0,0,0,0.5,0.0,24.294016499999998,28.803980499999998,66.3516135,0.9971827566666667
2010-11-14,0.0,0.0,0.0,0.0,0.5,0.0,,,,,0.0,0.0,0.0,0.0,0.0,0.0,,,,,0.0,0.0,0.0,0.0,0.5,0.0,,,,,0.0,0.0,0.0,0.0,0.5,0.0,,,,,0,0.0,0,0,0.5,0.0,24.172023285714285,28.486358571428575,66.40285728571429,0.9972126857142857
2010-11-21,0.0,0.0,0.0,0.0,0.5,0.0,,,,,0.0,0.0,0.0,0.0,0.0,0.0,,,,,0.0,0.0,0.0,0.0,0.5,0.0,,,,,0.0,0.0,0.0,0.0,0.5,0.0,,,,,0,0.0,0,0,0.5,0.0,24.034122857142854,29.253330714285713,59.422438285714286,0.9967878942857142
2010-11-28,0.0,0.0,0.0,0.0,0.5,0.0,,,,,0.0,0.0,0.0,0.0,0.0,0.0,,,,,0.0,0.0,0.0,0.0,0.5,0.0,,,,,0.0,0.0,0.0,0.0,0.5,0.0,,,,,0,0.0,0,0,0.5,0.0,24.758976714285716,29.348602142857143,59.77885142857143,0.9953170042857142
2010-12-05,0.0,0.0,0.0,0.0,0.5,0.0,,,,,0.0,0.0,0.0,0.0,0.0,0.0,,,,,0.0,0.0,0.0,0.0,0.5,0.0,,,,,0.0,0.0,0.0,0.0,0.5,0.0,,,,,0,0.0,0,0,0.5,0.0,24.697896166666666,29.120626,60.81262383333333,0.9966437916666667
2010-12-12,0.0,0.0,0.0,0.0,0.5,0.0,,,,,1.0,1.0,1.0,1.0,0.9632679,0.0604792,,,,,0.0,0.0,0.0,0.0,0.5,0.0,,,,,0.0,0.0,0.0,0.0,0.5,0.0,,,,,0,0.0,0,0,0.5,0.0,24.804530571428568,29.346409285714287,67.59225314285715,0.9945978714285715
2010-12-19,0.0,0.0,0.0,0.0,0.5,0.0,,,,,0.0,0.0,0.0,0.0,0.0,0.0,,,,,0.0,0.0,0.0,0.0,0.5,0.0,,,,,0.0,0.0,0.0,0.0,0.5,0.0,,,,,0,0.0,0,0,0.5,0.0,24.951039666666663,29.50166833333333,62.75008066666667,0.9939504833333332
2010-12-26,0.0,0.0,0.0,0.0,0.5,0.0,,,,,0.0,0.0,0.0,0.0,0.0,0.0,,,,,0.0,0.0,0.0,0.0,0.5,0.0,,,,,0.0,0.0,0.0,0.0,0.5,0.0,,,,,0,0.0,0,0,0.5,0.0,24.951039666666663,29.50166833333333,62.75008066666667,0.9939504833333332
2011-01-02,0.0,0.0,0.0,0.0,0.5,0.0,,,,,0.0,0.0,0.0,0.0,0.0,0.0,,,,,0.0,0.0,0.0,0.0,0.5,0.0,,,,,0.0,0.0,0.0,0.0,0.5,0.0,,,,,0,0.0,0,0,0.5,0.0,24.897614,29.406921,65.45207,0.9941645
