,casos_2312403,casos_est_2312403,casos_est_min_2312403,casos_est_max_2312403,p_rt1_2312403,p_inc100k_2312403,temp_min_2312403,temp_max_2312403,umid_min_2312403,pressao_min_2312403,casos_2303709,casos_est_2303709,casos_est_min_2303709,casos_est_max_2303709,p_rt1_2303709,p_inc100k_2303709,temp_min_2303709,temp_max_2303709,umid_min_2303709,pressao_min_2303709
2012-07-15,0,0.0,0,0,0.5,0.0,24.0,29.285714285714285,50.57142857142857,1010.2857142857143,0,0.0,0,0,0.0,0.0,24.0,29.285714285714285,50.57142857142857,1010.2857142857143
2012-07-22,0,0.0,0,0,0.5,0.0,24.0,29.571428571428573,46.0,1012.0,0,0.0,0,0,0.0,0.0,24.0,29.571428571428573,46.0,1012.0
2012-07-29,0,0.0,0,0,0.5,0.0,23.285714285714285,29.714285714285715,42.714285714285715,1011.7142857142857,0,0.0,0,0,0.0,0.0,23.285714285714285,29.714285714285715,42.714285714285715,1011.7142857142857
2012-08-05,0,0.0,0,0,0.5,0.0,22.571428571428573,30.0,39.0,1011.4285714285714,0,0.0,0,0,0.0,0.0,22.571428571428573,30.0,39.0,1011.4285714285714
2012-08-12,0,0.0,0,0,0.5,0.0,24.0,29.714285714285715,41.857142857142854,1011.5714285714286,0,0.0,0,0,0.0,0.0,24.0,29.714285714285715,41.857142857142854,1011.5714285714286
2012-08-19,0,0.0,0,0,0.5,0.0,23.571428571428573,30.285714285714285,37.714285714285715,1011.7142857142857,0,0.0,0,0,0.0,0.0,23.571428571428573,30.285714285714285,37.714285714285715,1011.7142857142857
2012-08-26,0,0.0,0,0,0.5,0.0,23.142857142857142,30.0,39.42857142857143,1012.4285714285714,0,0.0,0,0,0.0,0.0,23.142857142857142,30.0,39.42857142857143,1012.4285714285714
2012-09-02,0,0.0,0,0,0.5,0.0,24.428571428571427,29.857142857142858,42.0,1012.4285714285714,0,0.0,0,0,0.0,0.0,24.428571428571427,29.857142857142858,42.0,1012.4285714285714
2012-09-09,0,0.0,0,0,0.5,0.0,23.428571428571427,30.428571428571427,36.285714285714285,1013.1428571428571,0,0.0,0,0,0.0,0.0,23.428571428571427,30.428571428571427,36.285714285714285,1013.1428571428571
2012-09-16,0,0.0,0,0,0.5,0.0,24.428571428571427,29.857142857142858,42.0,1011.5714285714286,0,0.0,0,0,0.0,0.0,24.428571428571427,29.857142857142858,42.0,1011.5714285714286
2012-09-23,0,0.0,0,0,0.5,0.0,24.714285714285715,30.428571428571427,42.285714285714285,1011.1428571428571,0,0.0,0,0,0.0,0.0,24.714285714285715,30.428571428571427,42.285714285714285,1011.1428571428571
2012-09-30,0,0.0,0,0,0.5,0.0,24.571428571428573,30.142857142857142,39.714285714285715,1011.5714285714286,0,0.0,0,0,0.0,0.0,24.571428571428573,30.142857142857142,39.714285714285715,1011.5714285714286
2012-10-07,0,0.0,0,0,0.5,0.0,24.571428571428573,30.571428571428573,35.57142857142857,1010.1428571428571,0,0.0,0,0,0.0,0.0,24.571428571428573,30.571428571428573,35.57142857142857,1010.1428571428571
2012-10-14,0,0.0,0,0,0.5,0.0,24.285714285714285,29.714285714285715,43.142857142857146,1009.7142857142857,0,0.0,0,0,0.0,0.0,24.285714285714285,29.714285714285715,43.142857142857146,1009.7142857142857
2012-10-21,0,0.0,0,0,0.5,0.0,24.571428571428573,30.571428571428573,42.0,1008.8571428571429,0,0.0,0,0,0.0,0.0,24.571428571428573,30.571428571428573,42.0,1008.8571428571429
2012-10-28,0,0.0,0,0,0.5,0.0,24.571428571428573,30.0,48.285714285714285,1008.7142857142857,0,0.0,0,0,0.0,0.0,24.571428571428573,30.0,48.285714285714285,1008.7142857142857
2012-11-04,0,0.0,0,0,0.5,0.0,24.571428571428573,29.857142857142858,49.714285714285715,1009.5714285714286,0,0.0,0,0,0.0,0.0,24.571428571428573,29.857142857142858,49.714285714285715,1009.5714285714286
2012-11-11,0,0.0,0,0,0.5,0.0,25.285714285714285,30.0,43.857142857142854,1008.2857142857143,0,0.0,0,0,0.0,0.0,25.285714285714285,30.0,43.857142857142854,1008.2857142857143
2012-11-18,0,0.0,0,0,0.5,0.0,25.0,30.285714285714285,45.142857142857146,1009.1428571428571,0,0.0,0,0,0.0,0.0,25.0,30.285714285714285,45.142857142857146,1009.1428571428571
2012-11-25,0,0.0,0,0,0.5,0.0,25.571428571428573,30.857142857142858,45.57142857142857,1008.8571428571429,0,0.0,0,0,0.0,0.0,25.571428571428573,30.857142857142858,45.57142857142857,1008.8571428571429
2012-12-02,0,0.0,0,0,0.5,0.0,25.857142857142858,30.428571428571427,47.42857142857143,1008.2857142857143,0,0.0,0,0,0.0,0.0,25.857142857142858,30.428571428571427,47.42857142857143,1008.2857142857143
2012-12-09,0,0.0,0,0,0.5,0.0,25.714285714285715,30.428571428571427,47.857142857142854,1008.1428571428571,0,0.0,0,0,0.0,0.0,25.714285714285715,30.428571428571427,47.857142857142854,1008.1428571428571
2012-12-16,0,0.0,0,0,0.5,0.0,25.857142857142858,30.714285714285715,48.57142857142857,1007.8571428571429,0,0.0,0,0,0.0,0.0,25.857142857142858,30.714285714285715,48.57142857142857,1007.8571428571429
2012-12-23,0,0.0,0,0,0.5,0.0,25.714285714285715,31.0,47.857142857142854,1008.0,0,0.0,0,0,0.0,0.0,25.714285714285715,31.0,47.857142857142854,1008.0
2012-12-30,0,0.0,0,0,0.5,0.0,26.0,30.285714285714285,50.142857142857146,1008.7142857142857,0,0.0,0,0,0.0,0.0,26.0,30.285714285714285,50.142857142857146,1008.7142857142857
2013-01-06,0,0.0,0,0,0.5,0.0,25.285714285714285,30.0,53.0,1009.8571428571429,0,0.0,0,0,0.0,0.0,25.285714285714285,30.0,53.0,1009.8571428571429
2013-01-13,0,0.0,0,0,0.5,0.0,25.857142857142858,30.857142857142858,46.42857142857143,1008.1428571428571,0,0.0,0,0,0.0,0.0,25.857142857142858,30.857142857142858,46.42857142857143,1008.1428571428571
2013-01-20,0,0.0,0,0,0.5,0.0,22.714285714285715,30.285714285714285,54.285714285714285,1008.7142857142857,0,0.0,0,0,0.0,0.0,22.714285714285715,30.285714285714285,54.285714285714285,1008.7142857142857
2013-01-27,0,0.0,0,0,0.5,0.0,25.857142857142858,31.0,50.714285714285715,1009.8571428571429,0,0.0,0,0,0.0,0.0,25.857142857142858,31.0,50.714285714285715,1009.8571428571429
2013-02-03,0,0.0,0,0,0.5,0.0,26.142857142857142,31.428571428571427,43.714285714285715,1009.5714285714286,0,0.0,0,0,0.0,0.0,26.142857142857142,31.428571428571427,43.714285714285715,1009.5714285714286
2013-02-10,0,0.0,0,0,0.5,0.0,26.0,31.142857142857142,47.714285714285715,1007.8571428571429,0,0.0,0,0,0.0,0.0,26.0,31.142857142857142,47.714285714285715,1007.8571428571429
2013-02-17,0,0.0,0,0,0.5,0.0,25.428571428571427,30.714285714285715,51.57142857142857,1007.8571428571429,0,0.0,0,0,0.0,0.0,25.428571428571427,30.714285714285715,51.57142857142857,1007.8571428571429
2013-02-24,0,0.0,0,0,0.5,0.0,25.0,30.142857142857142,50.42857142857143,1007.8571428571429,0,0.0,0,0,0.0,0.0,25.0,30.142857142857142,50.42857142857143,1007.8571428571429
