,casos_3304557,casos_est_3304557,casos_est_min_3304557,casos_est_max_3304557,p_rt1_3304557,p_inc100k_3304557,temp_min_3304557,temp_max_3304557,umid_min_3304557,pressao_min_3304557,casos_3305554,casos_est_3305554,casos_est_min_3305554,casos_est_max_3305554,p_rt1_3305554,p_inc100k_3305554,temp_min_3305554,temp_max_3305554,umid_min_3305554,pressao_min_3305554,casos_3304151,casos_est_3304151,casos_est_min_3304151,casos_est_max_3304151,p_rt1_3304151,p_inc100k_3304151,temp_min_3304151,temp_max_3304151,umid_min_3304151,pressao_min_3304151,casos_3304144,casos_est_3304144,casos_est_min_3304144,casos_est_max_3304144,p_rt1_3304144,p_inc100k_3304144,temp_min_3304144,temp_max_3304144,umid_min_3304144,pressao_min_3304144,casos_3302858,casos_est_3302858,casos_est_min_3302858,casos_est_max_3302858,p_rt1_3302858,p_inc100k_3302858,temp_min_3302858,temp_max_3302858,umid_min_3302858,pressao_min_3302858,casos_3302270,casos_est_3302270,casos_est_min_3302270,casos_est_max_3302270,p_rt1_3302270,p_inc100k_3302270,temp_min_3302270,temp_max_3302270,umid_min_3302270,pressao_min_3302270,casos_3303203,casos_est_3303203,casos_est_min_3303203,casos_est_max_3303203,p_rt1_3303203,p_inc100k_3303203,temp_min_3303203,temp_max_3303203,umid_min_3303203,pressao_min_3303203
2010-08-08,109,109.0,109,109.0,0.34461248,1.6153377,,,,,1,1.0,1,1,0.77973175,1.2034853,,,,,2,2.0,2,2,0.7064735,7.9598823,,,,,1,1.0,1,1,0.96308726,0.6607857,,,,,5,5.0,5,5,0.8809411,2.8317542,,,,,0,0.0,0,0,0.0,0.0,,,,,0,0.0,0,0,0.0,0.0,,,,
2010-08-15,81,81.0,81,81.0,0.004155052,1.2003886,,,,,0,0.0,0,0,0.0,0.0,,,,,0,0.0,0,0,0.0,0.0,,,,,4,4.0,4,4,0.9803692,2.6431427,,,,,5,5.0,5,5,0.83234054,2.8317542,,,,,0,0.0,0,0,0.0,0.0,,,,,0,0.0,0,0,0.0,0.0,,,,
2010-08-22,93,93.0,93,93.0,0.16832216,1.3782239,,,,,0,0.0,0,0,0.0,0.0,,,,,0,0.0,0,0,0.0,0.0,,,,,3,3.0,3,3,0.77895963,1.982357,,,,,0,0.0,0,0,0.0,0.0,,,,,0,0.0,0,0,0.0,0.0,,,,,1,1.0,1,1,0.9250381,0.6146546,,,,
2010-08-29,54,54.0,54,54.0,0.0008269478,0.80025905,,,,,0,0.0,0,0,0.0,0.0,,,,,0,0.0,0,0,0.0,0.0,,,,,1,1.0,1,1,0.1629337,0.6607857,,,,,0,0.0,0,0,0.0,0.0,,,,,0,0.0,0,0,0.0,0.0,,,,,0,0.0,0,0,0.0,0.0,,,,
2010-09-05,59,59.0,59,59.0,0.04052437,0.8743571,,,,,0,0.0,0,0,0.0,0.0,,,,,1,1.0,1,1,0.8909769,3.9799411,,,,,0,0.0,0,0,0.0,0.0,,,,,0,0.0,0,0,0.0,0.0,,,,,0,0.0,0,0,0.0,0.0,,,,,2,2.0,2,2,0.88205266,1.2293092,,,,
2010-09-12,81,81.0,81,81.0,0.865577,1.2003886,,,,,0,0.0,0,0,0.0,0.0,,,,,2,2.0,2,2,0.9196738,7.9598823,,,,,0,0.0,0,0,0.0,0.0,,,,,2,2.0,2,2,0.9093714,1.1327016,,,,,1,1.0,1,1,0.9632679,0.9474362,,,,,1,1.0,1,1,0.58240527,0.6146546,,,,
2010-09-19,63,63.0,63,63.0,0.42961416,0.93363553,,,,,0,0.0,0,0,0.0,0.0,,,,,0,0.0,0,0,0.0,0.0,,,,,2,2.0,2,2,0.8761374,1.3215714,,,,,0,0.0,0,0,0.0,0.0,,,,,0,0.0,0,0,0.0,0.0,,,,,0,0.0,0,0,0.0,0.0,,,,
2010-09-26,61,61.0,61,61.0,0.25509623,0.90399635,,,,,0,0.0,0,0,0.0,0.0,,,,,0,0.0,0,0,0.0,0.0,,,,,0,0.0,0,0,0.0,0.0,,,,,0,0.0,0,0,0.0,0.0,,,,,0,0.0,0,0,0.0,0.0,,,,,2,2.0,2,2,0.75126916,1.2293092,,,,
2010-10-03,38,38.0,38,38.0,0.0036198841,0.5631453,,,,,0,0.0,0,0,0.0,0.0,,,,,0,0.0,0,0,0.0,0.0,,,,,0,0.0,0,0,0.0,0.0,,,,,0,0.0,0,0,0.0,0.0,,,,,0,0.0,0,0,0.0,0.0,,,,,1,1.0,1,1,0.5403556,0.6146546,,,,
2010-10-10,44,44.0,44,44.0,0.117651835,0.65206295,,,,,0,0.0,0,0,0.0,0.0,,,,,0,0.0,0,0,0.0,0.0,,,,,0,0.0,0,0,0.0,0.0,,,,,1,1.0,1,1,0.8938019,0.5663508,,,,,0,0.0,0,0,0.0,0.0,,,,,1,1.0,1,1,0.4485366,0.6146546,,,,
2010-10-17,49,49.0,49,49.0,0.58200383,0.726161,,,,,0,0.0,0,0,0.0,0.0,,,,,0,0.0,0,0,0.0,0.0,,,,,2,2.0,2,2,0.9539397,1.3215714,,,,,0,0.0,0,0,0.0,0.0,,,,,0,0.0,0,0,0.0,0.0,,,,,0,0.0,0,0,0.0,0.0,,,,
2010-10-24,50,50.0,50,50.0,0.700982,0.7409806,,,,,0,0.0,0,0,0.0,0.0,,,,,0,0.0,0,0,0.0,0.0,,,,,0,0.0,0,0,0.0,0.0,,,,,2,2.0,2,2,0.8820183,1.1327016,,,,,0,0.0,0,0,0.0,0.0,,,,,0,0.0,0,0,0.0,0.0,,,,
2010-10-31,72,72.0,72,72.0,0.98438287,1.0670121,,,,,0,0.0,0,0,0.0,0.0,,,,,0,0.0,0,0,0.0,0.0,,,,,0,0.0,0,0,0.0,0.0,,,,,2,2.0,2,2,0.7949248,1.1327016,,,,,0,0.0,0,0,0.0,0.0,,,,,0,0.0,0,0,0.0,0.0,,,,
2010-11-07,72,72.0,72,72.0,0.9268115,1.0670121,,,,,0,0.0,0,0,0.0,0.0,,,,,0,0.0,0,0,0.0,0.0,,,,,0,0.0,0,0,0.0,0.0,,,,,2,2.0,2,2,0.63296694,1.1327016,,,,,0,0.0,0,0,0.0,0.0,,,,,2,2.0,2,2,0.965139,1.2293092,,,,
2010-11-14,89,89.0,89,89.0,0.96890754,1.3189454,,,,,0,0.0,0,0,0.0,0.0,,,,,0,0.0,0,0,0.0,0.0,,,,,2,2.0,2,2,0.95394003,1.3215714,,,,,2,2.0,2,2,0.5274839,1.1327016,,,,,0,0.0,0,0,0.0,0.0,,,,,0,0.0,0,0,0.0,0.0,,,,
2010-11-21,120,120.0,120,120.0,0.998951,1.7783535,,,,,1,1.0,1,1,0.9632679,1.2034853,,,,,0,0.0,0,0,0.0,0.0,,,,,1,1.0,1,1,0.68453866,0.6607857,,,,,0,0.0,0,0,0.0,0.0,,,,,1,1.0,1,1,0.9632679,0.9474362,,,,,1,1.0,1,1,0.554012,0.6146546,,,,
2010-11-28,150,150.0,150,150.0,0.99983746,2.2229419,,,,,2,2.0,2,2,0.921898,2.4069705,,,,,0,0.0,0,0,0.0,0.0,,,,,2,2.0,2,2,0.7102401,1.3215714,,,,,0,0.0,0,0,0.0,0.0,,,,,0,0.0,0,0,0.0,0.0,,,,,0,0.0,0,0,0.0,0.0,,,,
2010-12-05,178,178.0,178,178.0,0.99967015,2.6378908,,,,,3,3.0,3,3,0.86735874,3.610456,,,,,0,0.0,0,0,0.0,0.0,,,,,3,3.0,3,3,0.77895904,1.982357,,,,,1,1.0,1,1,0.63505536,0.5663508,,,,,0,0.0,0,0,0.0,0.0,,,,,2,2.0,2,2,0.85373074,1.2293092,,,,
2010-12-12,233,233.0,233,233.0,0.99999076,3.4529696,,,,,4,4.0,4,4,0.8151714,4.813941,,,,,0,0.0,0,0,0.0,0.0,,,,,2,2.0,2,2,0.504059,1.3215714,,,,,0,0.0,0,0,0.0,0.0,,,,,1,1.0,1,1,0.8145292,0.9474362,,,,,2,2.0,2,2,0.7925278,1.2293092,,,,
2010-12-19,186,186.0,186,186.0,0.6109244,2.7564478,,,,,2,2.0,2,2,0.34283826,2.4069705,,,,,0,0.0,0,0,0.0,0.0,,,,,0,0.0,0,0,0.0,0.0,,,,,0,0.0,0,0,0.0,0.0,,,,,0,0.0,0,0,0.0,0.0,,,,,3,3.0,3,3,0.78481597,1.8439637,,,,
2010-12-26,151,151.0,151,151.0,0.0059689283,2.2377615,,,,,1,1.0,1,1,0.12744728,1.2034853,,,,,1,1.0,1,1,0.9632679,3.9799411,,,,,5,5.0,5,5,0.8998423,3.3039284,,,,,1,1.0,1,1,0.8143764,0.5663508,,,,,0,0.0,0,0,0.0,0.0,,,,,2,2.0,2,2,0.47386357,1.2293092,,,,
2011-01-02,319,319.0,319,319.0,1.0,4.727456,,,,,17,17.0,17,17,0.9995831,20.45925,,,,,0,0.0,0,0,0.0,0.0,,,,,2,2.0,2,2,0.50606257,1.3215714,,,,,12,12.0,12,12,0.99978817,6.79621,,,,,4,4.0,4,4,0.9803614,3.7897449,,,,,13,13.0,13,13,0.9964181,7.9905095,,,,
2011-01-09,385,385.0,385,385.0,1.0,5.7055507,,,,,47,47.0,47,47,1.0,56.56381,,,,,1,1.0,1,1,0.730556,3.9799411,,,,,2,2.0,2,2,0.36022955,1.3215714,,,,,9,9.0,9,9,0.9369942,5.0971575,,,,,0,0.0,0,0,0.0,0.0,,,,,11,11.0,11,11,0.92519593,6.7612004,,,,
2011-01-16,388,388.0,388,388.0,0.9999316,5.7500095,,,,,66,66.0,66,66,0.9999992,79.43003,,,,,0,0.0,0,0,0.0,0.0,,,,,3,3.0,3,3,0.560657,1.982357,,,,,28,28.0,28,28,0.99952614,15.857823,,,,,1,1.0,1,1,0.31771564,0.9474362,,,,,17,17.0,17,17,0.93440294,10.449128,,,,
2011-01-23,642,642.0,642,642.0,1.0,9.514191,,,,,102,102.0,102,102,0.99999934,122.7555,,,,,3,3.0,3,3,0.9347822,11.939823,,,,,9,9.0,9,9,0.97397745,5.947071,,,,,28,28.0,28,28,0.97974527,15.857823,,,,,7,7.0,7,7,0.97913903,6.632054,,,,,44,44.0,44,44,0.99997365,27.044802,,,,
2011-01-30,1049,1049.0,1049,1049.0,1.0,15.545773,,,,,134,134.0,134,134,0.9999963,161.26703,,,,,12,12.0,12,12,0.9990977,47.759293,,,,,16,16.0,16,16,0.99482685,10.572571,,,,,72,72.0,72,72,0.99999964,40.77726,,,,,10,10.0,10,10,0.9834972,9.474362,,,,,114,114.0,114,114,1.0,70.070625,,,,
