data_iniSE,casos_3302601,casos_3302700,casos_3303401,casos_3303500,casos_3303609,casos_3303807,casos_3303906,casos_3304003,casos_3304102,casos_3304755,casos_3304805,casos_3303856,casos_3300456,casos_3301157,casos_3300100,casos_3300159,casos_3300209,casos_3300225,casos_3300233,casos_3300258,casos_3300308,casos_3302304,casos_3302403,casos_3300506,casos_3300902,casos_3300936,casos_3300951,casos_3303203,casos_3301207,casos_3301504,casos_3301603,casos_3301801,casos_3302452,casos_3301850,casos_3301876,casos_3302056,casos_3302254,casos_3303708,casos_3302270,casos_3302502,casos_3302809,casos_3302858,casos_3303005,casos_3303955,casos_3304110,casos_3304144,casos_3304151,casos_3304904,casos_3305000,casos_3305109,casos_3305133,casos_3305208,casos_3305505,casos_3305554,casos_3305752,casos_3306008,casos_3306305,casos_3304607,casos_3304706,casos_3300407,casos_3300605,casos_3300704,casos_3300803,casos_3301009,casos_3301108,casos_3301306,casos_3301405,casos_3301702,casos_3302908,casos_3301900,casos_3302007,casos_3302106,casos_3302205,casos_3303104,casos_3303302,casos_3304128,casos_3304201,casos_3304300,casos_3304409,casos_3304508,casos_3304524,casos_3304557,casos_3305158,casos_3305307,casos_3305406,casos_3305604,casos_3305703,casos_3305802,casos_3305901,casos_3306107,casos_3306156,casos_3306206
2010-08-22,4,8,1,14,0,2,2,4,0,0,2,0,11,0,8,0,27,0,0,1,0,0,3,0,5,0,0,1,1,0,0,0,0,0,0,0,0,0,0,8,0,0,0,1,0,3,0,27,0,25,0,0,21,0,0,0,2,0,2,1,1,22,0,161,0,2,0,25,0,31,2,0,2,0,34,0,0,0,0,0,5,93,0,0,0,0,0,0,0,1,0,1
2010-08-29,3,6,1,16,0,1,1,1,0,0,18,0,6,0,11,0,26,0,0,3,0,0,2,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,9,0,0,0,0,0,1,0,21,1,13,0,0,24,0,0,1,0,0,2,0,0,17,0,110,0,1,0,26,0,33,4,0,4,0,17,0,3,2,0,1,0,54,0,0,2,0,0,0,0,4,0,1
2010-09-05,1,1,1,7,0,0,0,0,0,1,5,0,5,0,6,0,3,0,0,0,2,0,3,0,1,0,0,2,0,2,0,0,0,0,2,1,0,0,0,13,0,0,0,0,0,0,1,8,0,23,0,0,16,0,2,0,1,0,4,0,1,15,0,107,0,0,0,21,2,19,3,0,1,0,15,0,0,0,0,0,2,59,0,0,0,0,0,0,0,2,0,0
2010-09-12,2,1,4,5,1,2,0,0,0,0,5,0,9,0,2,1,1,0,0,1,0,0,6,0,0,0,0,1,0,0,0,0,0,0,0,2,0,0,1,16,0,2,0,0,0,0,2,3,2,9,0,0,19,0,1,0,2,0,2,1,2,17,0,103,0,0,0,19,0,17,1,0,2,0,11,0,0,0,0,0,1,81,0,0,0,0,0,0,0,2,0,0
2010-09-19,1,0,3,8,0,2,1,0,0,0,5,0,1,0,1,0,3,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,2,0,0,0,9,0,0,0,0,0,2,0,5,0,5,0,0,25,0,0,0,0,0,10,0,1,7,0,74,0,0,0,13,0,15,1,1,2,1,9,0,0,0,0,0,3,63,0,0,0,0,0,0,0,2,0,0
2010-09-26,1,3,2,6,0,0,1,0,0,0,2,0,0,0,0,0,19,0,0,0,0,0,2,0,0,0,0,2,1,0,0,0,0,0,2,0,0,0,0,6,0,0,0,1,0,0,0,12,1,9,0,0,11,0,0,0,3,0,7,0,8,6,0,67,0,0,0,24,0,7,0,1,3,0,12,0,1,2,0,2,1,61,0,0,0,0,0,0,0,2,0,0
2010-10-03,1,0,1,4,0,2,0,0,0,0,2,0,1,0,2,0,0,0,0,0,2,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,4,0,0,0,0,0,0,0,7,0,10,0,0,4,0,0,0,1,0,0,0,4,7,1,64,0,1,0,11,0,8,2,0,0,0,12,0,1,3,0,0,0,38,0,0,0,0,0,0,0,4,0,0
2010-10-10,7,0,1,3,0,0,2,0,1,0,6,0,0,0,0,0,2,0,0,0,1,0,2,0,0,0,0,1,0,0,0,0,0,1,1,0,0,0,0,9,0,1,0,1,0,0,0,9,0,9,0,0,0,0,0,0,4,0,1,0,1,9,0,47,0,0,0,4,0,12,0,0,0,0,5,0,5,0,0,1,1,44,0,0,0,0,0,0,0,2,0,0
2010-10-17,4,0,0,4,0,2,0,0,1,0,5,0,2,1,2,0,7,0,1,0,0,0,3,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,1,0,2,0,0,0,17,0,1,0,0,0,0,0,0,0,1,5,7,0,28,0,2,0,8,0,3,1,0,0,0,5,0,1,1,0,1,1,49,0,0,0,0,0,0,0,0,0,1
2010-10-24,2,0,0,3,0,2,0,0,0,0,0,0,0,0,2,0,2,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,1,0,0,0,3,0,2,0,1,0,0,0,4,1,8,0,0,0,0,0,0,0,0,0,0,20,3,0,20,0,1,0,7,0,13,1,0,0,0,6,0,0,0,0,0,1,50,0,0,0,0,0,0,0,2,0,0
