,casos_2312403,casos_est_2312403,casos_est_min_2312403,casos_est_max_2312403,p_rt1_2312403,p_inc100k_2312403,temp_min_2312403,temp_max_2312403,umid_min_2312403,pressao_min_2312403,casos_2303709,casos_est_2303709,casos_est_min_2303709,casos_est_max_2303709,p_rt1_2303709,p_inc100k_2303709,temp_min_2303709,temp_max_2303709,umid_min_2303709,pressao_min_2303709
2017-01-01,8,8.0,8,8,0.9538502,16.370296,26.142857142857142,28.857142857142858,62.285714285714285,1009.2857142857143,53,53.0,53,53,0.99757093,14.512119,26.142857142857142,28.857142857142858,62.285714285714285,1009.2857142857143
2017-01-08,9,9.0,9,9,0.86910826,18.416584,26.142857142857142,27.571428571428573,71.85714285714286,1010.0,61,61.0,61,61,0.9968054,16.702627,26.142857142857142,27.571428571428573,71.85714285714286,1010.0
2017-01-15,10,10.0,10,10,0.7533068,20.46287,25.0,26.571428571428573,78.0,1009.4285714285714,59,59.0,59,59,0.874146,16.155,25.0,26.571428571428573,78.0,1009.4285714285714
2017-01-22,22,22.0,22,22,0.989566,45.018314,25.0,27.285714285714285,75.28571428571429,1009.2857142857143,110,110.0,110,110,0.9999632,30.119492,25.0,27.285714285714285,75.28571428571429,1009.2857142857143
2017-01-29,23,23.0,23,23,0.9516656,47.0646,25.714285714285715,27.857142857142858,73.42857142857143,1011.0,131,131.0,131,131,0.99995863,35.869576,25.714285714285715,27.857142857142858,73.42857142857143,1011.0
2017-02-05,37,37.0,37,37,0.9918133,75.712616,26.0,27.571428571428573,75.71428571428571,1010.4285714285714,184,184.0,184,184,0.9999992,50.381695,26.0,27.571428571428573,75.71428571428571,1010.4285714285714
2017-02-12,43,43.0,43,43,0.9783578,87.99034,25.571428571428573,27.428571428571427,78.42857142857143,1008.8333333333334,208,208.0,208,208,0.99992007,56.95322,25.571428571428573,27.428571428571427,78.42857142857143,1008.8333333333334
2017-02-19,63,63.0,63,63,0.99757963,128.91608,25.428571428571427,27.0,79.57142857142857,1010.5714285714286,161,161.0,161,161,0.30379957,44.083984,25.428571428571427,27.0,79.57142857142857,1010.5714285714286
2017-02-26,55,55.0,55,55,0.82518345,112.545784,25.0,27.0,78.85714285714286,1009.8571428571429,262,262.0,262,262,0.9997591,71.73915,25.0,27.0,78.85714285714286,1009.8571428571429
2017-03-05,63,63.0,63,63,0.7886266,128.91608,24.142857142857142,26.428571428571427,84.57142857142857,1009.1428571428571,240,240.0,240,240,0.96696955,65.715256,24.142857142857142,26.428571428571427,84.57142857142857,1009.1428571428571
