geocode,name_muni,name_region,code_region,name_macro,code_macro,state
3506300,Bernardino de Campos,Ourinhos,35094,RRAS10,3533,SP
3506409,Bilac,Central do DRS II,35021,RRAS12,3531,SP
3507100,Bom Jesus dos Perdões,Bragança,35071,RRAS16,3527,SP
3507159,Bom Sucesso de Itararé,Itapeva,35162,RRAS8,3519,SP
3507456,Borebi,Bauru,35062,RRAS9,3518,SP
3507704,Braúna,Consórcios do DRS II,35023,RRAS12,3531,SP
3507753,Brejo Alegre,Consórcios do DRS II,35023,RRAS12,3531,SP
3507803,Brodowski,Vale das Cachoeiras,35133,RRAS13,3530,SP
2800100,Amparo de São Francisco,Propriá,28007,Macro Única,2801,SE
2800209,Aquidabã,Propriá,28007,Macro Única,2801,SE
3508108,Buritama,Consórcios do DRS II,35023,RRAS12,3531,SP
3508207,Buritizal,Alta Mogiana,35083,RRAS13,3530,SP
3508306,Cabrália Paulista,Bauru,35062,RRAS9,3518,SP
2801207,Canindé de São Francisco,Nossa Senhora da Glória,28005,Macro Única,2801,SE
2801306,Capela,Nossa Senhora do Socorro,28006,Macro Única,2801,SE
2801405,Carira,Itabaiana,28003,Macro Única,2801,SE
3509007,Caieiras,Franco da Rocha,35012,RRAS3,3524,SP
3509205,Cajamar,Franco da Rocha,35012,RRAS3,3524,SP
3509304,Cajobi,Norte - Barretos,35051,RRAS13,3530,SP
3509601,Campo Limpo Paulista,Jundiaí,35073,RRAS16,3527,SP
2801702,Cristinápolis,Estância,28002,Macro Única,2801,SE
2801900,Cumbe,Nossa Senhora do Socorro,28006,Macro Única,2801,SE
2802106,Estância,Estância,28002,Macro Única,2801,SE
2802403,Gararu,Nossa Senhora da Glória,28005,Macro Única,2801,SE
2802601,Gracho Cardoso,Nossa Senhora da Glória,28005,Macro Única,2801,SE
3509700,Campos do Jordão,Vale do Paraíba/Reg. Serrana,35174,RRAS17,3526,SP
3512704,Corumbataí,Rio Claro,35104,RRAS14,3529,SP
3512803,Cosmópolis,RM de Campinas,35072,RRAS15,3528,SP
3512902,Cosmorama,Votuporanga,35157,RRAS12,3531,SP
3509809,Campos Novos Paulista,Marília,35093,RRAS10,3533,SP
3509908,Cananéia,Vale do Ribeira,35121,RRAS7,3520,SP
3509957,Canas,Circ. da Fé e Vale Histórico,35172,RRAS17,3526,SP
3510005,Cândido Mota,Assis,35092,RRAS10,3533,SP
2803005,Itabaianinha,Estância,28002,Macro Única,2801,SE
2803203,Itaporanga d'Ajuda,Aracaju,28001,Macro Única,2801,SE
2803401,Japoatã,Propriá,28007,Macro Única,2801,SE
3510104,Cândido Rodrigues,Norte do DRS III,35033,RRAS13,3530,SP
3510153,Canitar,Ourinhos,35094,RRAS10,3533,SP
3540101,Pongaí,Lins,35065,RRAS9,3518,SP
3510302,Capela do Alto,Sorocaba,35163,RRAS8,3519,SP
2804201,Monte Alegre de Sergipe,Nossa Senhora da Glória,28005,Macro Única,2801,SE
3510609,Carapicuíba,Rota dos Bandeirantes,35014,RRAS5,3522,SP
3510906,Cássia dos Coqueiros,Vale das Cachoeiras,35133,RRAS13,3530,SP
3511102,Catanduva,Catanduva,35151,RRAS12,3531,SP
3511201,Catiguá,Catanduva,35151,RRAS12,3531,SP
3511300,Cedral,São José do Rio Preto,35155,RRAS12,3531,SP
3511409,Cerqueira César,Vale do Jurumirim,35061,RRAS9,3518,SP
3511508,Cerquilho,Itapetininga,35161,RRAS8,3519,SP
3511706,Charqueada,Piracicaba,35103,RRAS14,3529,SP
3511904,Clementina,Consórcios do DRS II,35023,RRAS12,3531,SP
